10000,0.054478
20000,0.03115
30000,0.032197
40000,0.076129
50000,0.039252
60000,0.034573
70000,0.036388
80000,0.038763
90000,0.038344
100000,0.039741
110000,0.033665
120000,0.041697
130000,0.040719
140000,0.041627
150000,0.03981
160000,0.042535
170000,4.348104
180000,0.099876
190000,0.043093
200000,0.030731
210000,0.032198
220000,0.03115
230000,0.047773
240000,0.038833
250000,0.034503
260000,0.036877
270000,0.038204
280000,0.035969
290000,0.035899
300000,0.033665
310000,0.040719
320000,0.034572
330000,0.034922
340000,0.041696
350000,0.043024
360000,0.033664
370000,0.073336
380000,0.040649
390000,0.032687
400000,0.034992
410000,0.039741
420000,0.046376
430000,0.033176
440000,0.034084
450000,0.036877
460000,0.030172
470000,0.036388
480000,0.038274
490000,0.034991
500000,0.030801
